dataset,n,label,delta
assist_17,7,0,-0.03333333333333333
assist_17,2,1,0.1
assist_17,1,0,-0.16666666666666666
assist_17,9,1,0.022727272727272724
assist_17,0,0,-0.16666666666666666
assist_17,11,1,0.03846153846153846
assist_17,9,1,0.05303030303030303
assist_17,1,1,0.16666666666666669
assist_17,2,0,-0.1
assist_17,7,1,0.04444444444444444
assist_17,2,0,-0.15
assist_17,4,0,-0.023809523809523808
assist_17,1,0,-0.08333333333333333
assist_17,10,0,-0.032051282051282055
assist_17,10,0,-0.04487179487179487
assist_17,0,1,0.16666666666666666
assist_17,6,1,0.05555555555555555
assist_17,2,0,-0.15
assist_17,2,0,-0.1
assist_17,2,1,0.1
assist_17,5,1,0.053571428571428575
assist_17,3,0,-0.03333333333333333
assist_17,1,0,-0.08333333333333333
assist_17,3,0,-0.09999999999999999
assist_17,4,0,-0.07142857142857142
assist_17,6,1,0.05555555555555555
assist_17,3,0,-0.06666666666666667
assist_17,7,1,0.03333333333333334
assist_17,10,1,0.012820512820512818
assist_17,5,1,0.03571428571428571
assist_17,2,1,0.15
assist_17,1,0,-0.16666666666666666
assist_17,12,0,-0.02857142857142857
assist_17,8,0,-0.045454545454545456
assist_17,3,0,-0.13333333333333333
assist_17,1,0,-0.16666666666666666
assist_17,4,0,-0.07142857142857142
assist_17,3,0,-0.03333333333333333
assist_17,3,1,0.06666666666666667
assist_17,4,0,-0.023809523809523808
assist_17,5,0,-0.017857142857142856
assist_17,9,1,0.06060606060606061
assist_17,8,0,-0.045454545454545456
assist_17,11,0,-0.06043956043956044
assist_17,4,0,-0.023809523809523808
assist_17,4,1,0.09523809523809525
assist_17,11,0,-0.01098901098901099
assist_17,5,0,-0.05357142857142857
assist_17,9,0,-0.03787878787878788
assist_17,3,1,0.13333333333333333
assist_17,3,0,-0.06666666666666667
assist_17,2,1,0.15
assist_17,3,0,-0.09999999999999999
assist_17,11,0,-0.03846153846153846
assist_17,3,1,0.09999999999999999
assist_17,1,0,-0.08333333333333333
assist_17,12,0,-0.02380952380952381
assist_17,5,0,-0.017857142857142856
assist_17,1,0,-0.08333333333333333
assist_17,12,0,-0.04285714285714286
assist_17,11,1,0.02747252747252747
assist_17,10,1,0.05128205128205129
assist_17,5,0,-0.017857142857142856
assist_17,0,1,0.16666666666666666
assist_17,1,0,-0.16666666666666666
assist_17,1,1,0.16666666666666669
assist_17,6,1,0.013888888888888888
assist_17,1,1,0.08333333333333334
assist_17,5,1,0.017857142857142863
assist_17,3,1,0.06666666666666667
assist_17,4,0,-0.07142857142857142
assist_17,1,0,-0.08333333333333333
assist_17,1,0,-0.08333333333333333
assist_17,1,0,-0.16666666666666666
assist_17,0,0,-0.16666666666666666
assist_17,2,0,-0.05
assist_17,0,1,0.16666666666666666
assist_17,5,0,-0.05357142857142857
assist_17,5,0,-0.10714285714285714
assist_17,1,1,0.16666666666666669
assist_17,8,1,0.045454545454545456
assist_17,3,0,-0.06666666666666667
assist_17,4,0,-0.047619047619047616
assist_17,0,1,0.16666666666666666
assist_17,5,0,-0.03571428571428571
assist_17,5,1,0.03571428571428571
assist_17,6,1,0.041666666666666664
assist_17,4,1,0.11904761904761905
assist_17,0,1,0.16666666666666666
assist_17,5,0,-0.05357142857142857
assist_17,0,0,-0.16666666666666666
assist_17,7,1,0.06666666666666668
assist_17,1,0,-0.08333333333333333
assist_17,1,1,0.16666666666666669
assist_17,2,0,-0.1
assist_17,4,0,-0.07142857142857142
assist_17,0,1,0.16666666666666666
assist_17,7,0,-0.01111111111111111
assist_17,1,1,0.16666666666666669
assist_17,8,1,0.045454545454545456
assist_17,1,1,0.16666666666666669
assist_17,11,0,-0.03846153846153846
assist_17,12,1,0.03333333333333333
assist_17,0,0,-0.16666666666666666
assist_17,10,0,-0.057692307692307696
assist_17,0,1,0.16666666666666666
assist_17,3,1,0.13333333333333333
assist_17,3,1,0.09999999999999999
assist_17,3,0,-0.03333333333333333
assist_17,8,0,-0.018181818181818184
assist_17,2,1,0.05
assist_17,4,0,-0.07142857142857142
assist_17,2,0,-0.05
assist_17,4,1,0.07142857142857142
assist_17,3,0,-0.09999999999999999
assist_17,3,0,-0.06666666666666667
assist_17,9,1,0.06060606060606061
assist_17,4,0,-0.11904761904761905
assist_17,9,0,-0.03787878787878788
assist_17,0,1,0.16666666666666666
assist_17,5,0,-0.08928571428571429
assist_17,1,0,-0.08333333333333333
assist_17,12,0,-0.014285714285714285
assist_17,6,0,-0.05555555555555555
assist_17,9,1,0.04545454545454545
assist_17,11,1,0.03296703296703297
assist_17,1,0,-0.16666666666666666
assist_17,2,1,0.05
assist_17,6,0,-0.027777777777777776
assist_17,10,0,-0.02564102564102564
assist_17,7,0,-0.07777777777777778
assist_17,1,0,-0.08333333333333333
assist_17,6,0,-0.041666666666666664
assist_17,1,0,-0.16666666666666666
assist_17,2,0,-0.15
assist_17,0,1,0.16666666666666666
assist_17,4,0,-0.07142857142857142
assist_17,2,0,-0.05
assist_17,2,1,0.05
assist_17,4,1,0.09523809523809525
assist_17,4,1,0.04761904761904762
assist_17,3,1,0.13333333333333333
assist_17,7,1,0.07777777777777778
assist_17,0,0,-0.16666666666666666
assist_17,0,1,0.16666666666666666
assist_17,2,0,-0.1
assist_17,7,1,0.03333333333333334
assist_17,3,0,-0.06666666666666667
assist_17,1,0,-0.08333333333333333
assist_17,4,0,-0.047619047619047616
assist_17,10,0,-0.05128205128205128
assist_17,8,0,-0.009090909090909092
assist_17,1,1,0.08333333333333334
assist_17,0,1,0.16666666666666666
assist_17,9,1,0.05303030303030303
assist_17,1,0,-0.08333333333333333
assist_17,1,0,-0.16666666666666666
assist_17,3,0,-0.03333333333333333
assist_17,4,1,0.023809523809523805
assist_17,0,0,-0.16666666666666666
assist_17,3,0,-0.06666666666666667
assist_17,12,0,-0.04285714285714286
assist_17,3,0,-0.03333333333333333
assist_17,6,1,0.05555555555555555
assist_17,5,0,-0.03571428571428571
assist_17,6,0,-0.013888888888888888
assist_17,2,0,-0.1
assist_17,6,1,0.05555555555555555
assist_17,4,0,-0.07142857142857142
assist_17,2,0,-0.1
assist_17,12,0,-0.04285714285714286
assist_17,8,1,0.018181818181818177
assist_17,7,1,0.04444444444444444
assist_17,0,0,-0.16666666666666666
assist_17,8,0,-0.018181818181818184
assist_17,4,0,-0.09523809523809523
assist_17,2,0,-0.05
assist_17,8,1,0.06363636363636363
assist_17,9,1,0.030303030303030304
assist_17,7,0,-0.03333333333333333
assist_17,2,1,0.1
assist_17,2,0,-0.05
assist_17,6,0,-0.05555555555555555
assist_17,1,1,0.16666666666666669
assist_17,6,0,-0.05555555555555555
assist_17,4,0,-0.023809523809523808
assist_17,2,1,0.1
assist_17,4,1,0.04761904761904762
assist_17,5,0,-0.03571428571428571
assist_17,1,0,-0.08333333333333333
assist_17,6,0,-0.05555555555555555
assist_17,4,0,-0.047619047619047616
assist_17,9,0,-0.007575757575757576
assist_17,0,0,-0.16666666666666666
assist_17,0,1,0.16666666666666666
assist_17,10,0,-0.038461538461538464
assist_17,1,0,-0.08333333333333333
assist_17,7,1,0.04444444444444444
assist_17,11,1,0.03846153846153846
assist_17,12,0,-0.02857142857142857
assist_17,9,0,-0.007575757575757576
assist_17,4,1,0.07142857142857142
assist_17,3,0,-0.09999999999999999
assist_17,0,0,-0.16666666666666666
assist_17,2,0,-0.05
assist_17,5,0,-0.017857142857142856
assist_17,8,1,0.05454545454545454
assist_17,11,1,0.06593406593406594
assist_17,0,1,0.16666666666666666
assist_17,0,0,-0.16666666666666666
assist_17,6,1,0.06944444444444445
assist_17,6,0,-0.013888888888888888
assist_17,1,1,0.16666666666666669
assist_17,11,1,0.02747252747252747
assist_17,1,0,-0.08333333333333333
assist_17,10,0,-0.02564102564102564
assist_17,1,1,0.08333333333333334
assist_17,11,1,0.06043956043956044
assist_17,2,0,-0.1
assist_17,6,1,0.041666666666666664
assist_17,6,0,-0.05555555555555555
assist_17,3,1,0.033333333333333326
assist_17,1,1,0.16666666666666669
assist_17,12,1,0.028571428571428574
assist_17,1,0,-0.08333333333333333
assist_17,10,0,-0.02564102564102564
assist_17,2,0,-0.1
assist_17,1,0,-0.16666666666666666
assist_17,3,0,-0.06666666666666667
assist_17,4,0,-0.07142857142857142
assist_17,9,1,0.03787878787878788
assist_17,3,0,-0.03333333333333333
assist_17,1,1,0.16666666666666669
assist_17,1,0,-0.08333333333333333
assist_17,8,0,-0.03636363636363637
assist_17,7,1,0.04444444444444444
assist_17,4,0,-0.047619047619047616
assist_17,5,0,-0.05357142857142857
assist_17,8,0,-0.045454545454545456
assist_17,5,1,0.03571428571428571
assist_17,9,0,-0.03787878787878788
assist_17,5,0,-0.10714285714285714
assist_17,8,1,0.018181818181818177
assist_17,7,1,0.07777777777777778
assist_17,5,0,-0.017857142857142856
assist_17,2,0,-0.05
assist_17,7,0,-0.04444444444444444
assist_17,2,0,-0.1
assist_17,1,0,-0.16666666666666666
assist_17,6,1,0.05555555555555555
assist_17,7,1,0.02222222222222222
assist_17,2,0,-0.05
assist_17,4,0,-0.07142857142857142
assist_17,10,0,-0.01282051282051282
assist_17,6,0,-0.013888888888888888
assist_17,1,1,0.16666666666666669
assist_17,3,0,-0.03333333333333333
assist_17,2,0,-0.05
assist_17,5,0,-0.05357142857142857
assist_17,7,0,-0.04444444444444444
assist_17,1,1,0.16666666666666669
assist_17,6,0,-0.05555555555555555
assist_17,1,0,-0.08333333333333333
assist_17,5,0,-0.05357142857142857
assist_17,8,0,-0.05454545454545454
assist_17,7,1,0.06666666666666668
assist_17,0,1,0.16666666666666666
assist_17,2,0,-0.05
assist_17,4,1,0.09523809523809525
assist_17,1,0,-0.08333333333333333
assist_17,5,1,0.03571428571428571
assist_17,5,0,-0.07142857142857142
assist_17,3,1,0.06666666666666667
assist_17,3,1,0.13333333333333333
assist_17,4,0,-0.07142857142857142
assist_17,4,0,-0.07142857142857142
assist_17,9,1,0.03787878787878788
assist_17,5,1,0.053571428571428575
assist_17,7,1,0.05555555555555556
assist_17,6,0,-0.05555555555555555
assist_17,0,1,0.16666666666666666
assist_17,6,0,-0.041666666666666664
assist_17,9,1,0.030303030303030304
assist_17,2,1,0.05
assist_17,1,0,-0.16666666666666666
assist_17,5,1,0.053571428571428575
assist_17,6,1,0.05555555555555555
assist_17,1,0,-0.08333333333333333
assist_17,0,0,-0.16666666666666666
assist_17,10,1,0.025641025641025644
assist_17,0,1,0.16666666666666666
assist_17,11,0,-0.03846153846153846
assist_17,6,0,-0.05555555555555555
assist_17,3,0,-0.06666666666666667
assist_17,8,0,-0.009090909090909092
assist_17,4,0,-0.047619047619047616
assist_17,1,0,-0.08333333333333333
assist_17,3,1,0.06666666666666667
assist_17,2,1,0.05
assist_17,6,1,0.06944444444444445
assist_17,2,0,-0.05
assist_17,7,0,-0.02222222222222222
assist_17,3,1,0.09999999999999999
assist_17,3,1,0.13333333333333333
assist_17,3,0,-0.06666666666666667
assist_17,4,0,-0.07142857142857142
assist_17,9,0,-0.06818181818181819
assist_17,4,0,-0.07142857142857142
assist_17,6,0,-0.05555555555555555
assist_17,12,1,0.028571428571428574
assist_17,12,1,0.009523809523809526
assist_17,6,1,0.08333333333333333
assist_17,7,0,-0.05555555555555556
assist_17,11,0,-0.02197802197802198
assist_17,3,1,0.033333333333333326
assist_17,5,0,-0.05357142857142857
assist_17,1,1,0.08333333333333334
assist_17,9,0,-0.030303030303030304
assist_17,4,1,0.07142857142857142
assist_17,9,0,-0.015151515151515152
assist_17,0,1,0.16666666666666666
assist_17,8,0,-0.02727272727272727
assist_17,5,0,-0.05357142857142857
assist_17,2,0,-0.05
assist_17,4,0,-0.023809523809523808
assist_17,4,0,-0.07142857142857142
assist_17,8,1,0.045454545454545456
assist_17,4,1,0.04761904761904762
assist_17,0,0,-0.16666666666666666
assist_17,3,1,0.09999999999999999
assist_17,12,1,0.04761904761904762
assist_17,1,1,0.08333333333333334
assist_17,10,0,-0.032051282051282055
assist_17,5,1,0.10714285714285715
assist_17,4,0,-0.047619047619047616
assist_17,2,0,-0.1
assist_17,12,0,-0.02380952380952381
assist_17,2,1,0.05
assist_17,2,0,-0.1
assist_17,6,0,-0.013888888888888888
assist_17,3,1,0.033333333333333326
assist_17,2,0,-0.1
assist_17,0,0,-0.16666666666666666
assist_17,0,1,0.16666666666666666
assist_17,4,1,0.07142857142857142
assist_17,1,0,-0.08333333333333333
assist_17,7,1,0.03333333333333334
assist_17,6,1,0.027777777777777776
assist_17,2,0,-0.15
assist_17,5,0,-0.017857142857142856
assist_17,2,0,-0.1
assist_17,0,1,0.16666666666666666
assist_17,6,0,-0.08333333333333333
assist_17,4,0,-0.047619047619047616
assist_17,9,0,-0.04545454545454545
assist_17,2,1,0.05
assist_17,5,0,-0.07142857142857142
assist_17,4,0,-0.023809523809523808
assist_17,9,1,0.06060606060606061
assist_17,4,1,0.023809523809523805
assist_17,8,0,-0.05454545454545454
assist_17,2,1,0.15
assist_17,5,1,0.08928571428571429
assist_17,7,1,0.04444444444444444
assist_17,1,1,0.08333333333333334
assist_17,5,1,0.053571428571428575
assist_17,6,1,0.06944444444444445
assist_17,4,0,-0.023809523809523808
assist_17,4,1,0.04761904761904762
assist_17,1,0,-0.08333333333333333
assist_17,9,0,-0.022727272727272724
assist_17,3,0,-0.03333333333333333
assist_17,0,1,0.16666666666666666
assist_17,4,1,0.11904761904761905
assist_17,3,0,-0.06666666666666667
assist_17,4,0,-0.047619047619047616
assist_17,1,1,0.08333333333333334
assist_17,5,0,-0.017857142857142856
assist_17,4,0,-0.023809523809523808
assist_17,0,0,-0.16666666666666666
assist_17,5,1,0.053571428571428575
assist_17,7,0,-0.02222222222222222
assist_17,9,0,-0.022727272727272724
assist_17,2,0,-0.1
assist_17,4,0,-0.047619047619047616
assist_17,6,0,-0.08333333333333333
assist_17,0,0,-0.16666666666666666
assist_17,7,1,0.04444444444444444
assist_17,12,1,0.03333333333333333
assist_17,1,0,-0.16666666666666666
assist_17,2,1,0.1
assist_17,10,0,-0.01282051282051282
assist_17,3,0,-0.03333333333333333
assist_17,2,0,-0.1
assist_17,0,0,-0.16666666666666666
assist_17,6,0,-0.05555555555555555
assist_17,11,0,-0.03846153846153846
assist_17,2,0,-0.05
assist_17,11,0,-0.04395604395604396
assist_17,11,0,-0.02197802197802198
assist_17,3,1,0.06666666666666667
assist_17,4,0,-0.047619047619047616
assist_17,5,0,-0.05357142857142857
assist_17,1,0,-0.08333333333333333
assist_17,11,0,-0.01098901098901099
assist_17,5,1,0.03571428571428571
assist_17,6,0,-0.027777777777777776
assist_17,5,0,-0.05357142857142857
assist_17,5,0,-0.03571428571428571
assist_17,4,0,-0.047619047619047616
assist_17,8,1,0.02727272727272728
assist_17,1,0,-0.08333333333333333
assist_17,12,1,0.028571428571428574
assist_17,6,1,0.06944444444444445
assist_17,7,1,0.06666666666666668
assist_17,3,1,0.06666666666666667
assist_17,0,1,0.16666666666666666
assist_17,7,0,-0.02222222222222222
assist_17,1,0,-0.16666666666666666
assist_17,1,1,0.16666666666666669
assist_17,0,1,0.16666666666666666
assist_17,5,0,-0.05357142857142857
assist_17,12,0,-0.02380952380952381
assist_17,6,0,-0.05555555555555555
assist_17,6,0,-0.027777777777777776
assist_17,1,1,0.08333333333333334
assist_17,4,0,-0.07142857142857142
assist_17,7,0,-0.02222222222222222
assist_17,6,0,-0.027777777777777776
assist_17,4,1,0.11904761904761905
assist_17,12,1,0.028571428571428574
assist_17,2,1,0.1
assist_17,12,0,-0.0047619047619047615
assist_17,0,1,0.16666666666666666
assist_17,1,1,0.16666666666666669
assist_17,1,1,0.16666666666666669
assist_17,3,0,-0.03333333333333333
assist_17,10,0,-0.019230769230769232
assist_17,3,0,-0.06666666666666667
assist_17,7,1,0.07777777777777778
assist_17,0,1,0.16666666666666666
assist_17,6,1,0.05555555555555555
assist_17,11,1,0.01648351648351648
assist_17,4,0,-0.023809523809523808
assist_17,4,0,-0.07142857142857142
assist_17,7,0,-0.05555555555555556
assist_17,7,0,-0.01111111111111111
assist_17,7,0,-0.05555555555555556
assist_17,1,0,-0.08333333333333333
assist_17,10,0,-0.032051282051282055
assist_17,2,1,0.05
assist_17,4,1,0.11904761904761905
assist_17,1,1,0.16666666666666669
assist_17,6,1,0.013888888888888888
assist_17,3,1,0.033333333333333326
assist_17,0,0,-0.16666666666666666
assist_17,4,0,-0.047619047619047616
assist_17,0,0,-0.16666666666666666
assist_17,8,1,0.045454545454545456
assist_17,6,0,-0.027777777777777776
assist_17,2,0,-0.1
assist_17,8,0,-0.045454545454545456
assist_17,8,0,-0.02727272727272727
assist_17,7,1,0.04444444444444444
assist_17,6,0,-0.041666666666666664
assist_17,8,1,0.018181818181818177
assist_17,3,0,-0.06666666666666667
assist_17,12,1,0.023809523809523805
assist_17,2,0,-0.05
assist_17,1,0,-0.08333333333333333
assist_17,1,1,0.08333333333333334
assist_17,0,1,0.16666666666666666
assist_17,1,0,-0.16666666666666666
assist_17,1,0,-0.08333333333333333
assist_17,2,0,-0.1
assist_17,6,1,0.041666666666666664
assist_17,5,0,-0.03571428571428571
assist_17,6,0,-0.013888888888888888
assist_17,0,1,0.16666666666666666
assist_17,6,1,0.041666666666666664
assist_17,3,0,-0.09999999999999999
assist_17,3,0,-0.13333333333333333
assist_17,3,0,-0.09999999999999999
assist_17,9,1,0.030303030303030304
assist_17,7,0,-0.01111111111111111
assist_17,5,1,0.017857142857142863
assist_17,9,1,0.03787878787878788
assist_17,4,1,0.07142857142857142
assist_17,3,1,0.033333333333333326
assist_17,3,0,-0.06666666666666667
assist_17,7,0,-0.01111111111111111
assist_17,4,0,-0.07142857142857142
assist_17,3,1,0.09999999999999999
assist_17,2,0,-0.05
assist_17,3,0,-0.06666666666666667
assist_17,9,1,0.022727272727272724
assist_17,9,0,-0.04545454545454545
assist_17,9,1,0.022727272727272724
assist_17,0,1,0.16666666666666666
assist_17,3,1,0.09999999999999999
assist_17,5,1,0.07142857142857142
assist_17,6,1,0.05555555555555555
assist_17,2,0,-0.1
assist_17,10,0,-0.02564102564102564
assist_17,1,0,-0.08333333333333333
assist_17,8,0,-0.03636363636363637
assist_17,7,1,0.05555555555555556
assist_17,2,0,-0.05
assist_17,1,1,0.16666666666666669
assist_17,5,1,0.053571428571428575
assist_17,5,1,0.10714285714285715
assist_17,4,1,0.023809523809523805
assist_17,2,1,0.05
assist_17,6,1,0.013888888888888888
assist_17,2,0,-0.15
assist_17,5,1,0.08928571428571429
assist_17,5,0,-0.07142857142857142
assist_17,3,0,-0.06666666666666667
assist_17,1,1,0.16666666666666669
assist_17,4,0,-0.047619047619047616
assist_17,3,1,0.13333333333333333
assist_17,5,0,-0.017857142857142856
assist_17,5,1,0.07142857142857142
assist_17,11,0,-0.03296703296703297
assist_17,2,0,-0.15
assist_17,8,0,-0.06363636363636363
assist_17,6,0,-0.08333333333333333
assist_17,6,1,0.05555555555555555
assist_17,5,1,0.053571428571428575
assist_17,8,1,0.08181818181818182
assist_17,10,0,-0.019230769230769232
assist_17,1,1,0.16666666666666669
assist_17,5,0,-0.03571428571428571
assist_17,6,1,0.041666666666666664
assist_17,5,0,-0.05357142857142857
assist_17,6,0,-0.027777777777777776
assist_17,2,0,-0.1
assist_17,1,0,-0.16666666666666666
assist_17,3,1,0.033333333333333326
assist_17,3,0,-0.03333333333333333
assist_17,6,0,-0.041666666666666664
assist_17,6,1,0.05555555555555555
assist_17,0,1,0.16666666666666666
assist_17,11,1,0.02197802197802198
assist_17,3,0,-0.03333333333333333
assist_17,3,0,-0.06666666666666667
assist_17,7,0,-0.01111111111111111
assist_17,1,0,-0.08333333333333333
assist_17,7,0,-0.08888888888888888
assist_17,6,0,-0.013888888888888888
assist_17,1,1,0.08333333333333334
assist_17,6,0,-0.041666666666666664
assist_17,3,1,0.033333333333333326
assist_17,3,1,0.033333333333333326
assist_17,6,1,0.027777777777777776
assist_17,7,0,-0.03333333333333333
assist_17,1,1,0.16666666666666669
assist_17,5,0,-0.08928571428571429
assist_17,7,0,-0.04444444444444444
assist_17,4,1,0.09523809523809525
assist_17,8,1,0.05454545454545454
assist_17,3,0,-0.13333333333333333
assist_17,3,0,-0.06666666666666667
assist_17,9,0,-0.06060606060606061
assist_17,0,0,-0.16666666666666666
assist_17,5,1,0.03571428571428571
assist_17,1,1,0.08333333333333334
assist_17,5,1,0.07142857142857142
assist_17,2,0,-0.05
assist_17,11,0,-0.06043956043956044
assist_17,1,1,0.16666666666666669
assist_17,2,0,-0.05
assist_17,5,0,-0.017857142857142856
assist_17,5,1,0.10714285714285715
assist_17,2,0,-0.05
assist_17,0,1,0.16666666666666666
assist_17,3,0,-0.03333333333333333
assist_17,1,0,-0.16666666666666666
assist_17,3,0,-0.03333333333333333
assist_17,9,1,0.04545454545454545
assist_17,3,0,-0.06666666666666667
assist_17,5,0,-0.03571428571428571
